	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
1.48723	15.2657	0.834059	0.18513	0.13611	0.0716934	0.105415	0.0209956	-0.0062561	0.0956879	0.0675233	0.0490733	0.0504272	0.0381732	0.109268	0.0767784	0.178331	0.170311	0.166184	0.183817	0.364039	
1.48748	17.5143	0.853218	0.19036	0.142616	0.0675125	0.109798	0.0237095	-0.0144958	0.100082	0.079704	0.0439981	0.0443412	0.0320841	0.113503	0.0721973	0.178204	0.166862	0.160798	0.178726	0.3692	
1.48772	20.2994	0.87239	0.200383	0.149122	0.063343	0.114189	0.0264235	-0.0227203	0.104477	0.0918848	0.0389351	0.0382673	0.0260068	0.117752	0.0766144	0.17809	0.163414	0.155423	0.173634	0.374373	
1.48796	23.7108	0.898081	0.211738	0.154449	0.0592651	0.121132	0.0318395	-0.0221405	0.112839	0.108447	0.0325065	0.0230705	0.0233634	0.116791	0.0864092	0.178698	0.154686	0.148459	0.173645	0.378436	
1.48821	27.7533	0.923785	0.223105	0.159788	0.0551987	0.128075	0.0372674	-0.0215607	0.129181	0.12501	0.026078	0.00788568	0.0207319	0.115837	0.0962159	0.179305	0.145969	0.141506	0.173657	0.382511	
1.48845	32.3027	0.949476	0.237448	0.165115	0.0581779	0.135017	0.0426953	-0.0209808	0.154343	0.141572	0.0196495	-0.00297265	0.0180885	0.114876	0.097575	0.17551	0.142006	0.134542	0.173668	0.382884	
1.48869	37.0658	0.975179	0.247023	0.170454	0.0660782	0.141972	0.0481233	-0.020401	0.184311	0.158135	0.0132331	-0.00456344	0.015457	0.11393	0.0989458	0.171726	0.145504	0.127589	0.173679	0.374834	
1.48894	41.541	1.01503	0.251804	0.171722	0.0763206	0.141537	0.0451713	-0.0154572	0.215927	0.184794	-0.000155598	0.00222151	0.0105479	0.111618	0.105554	0.162978	0.147217	0.120084	0.173424	0.351662	
1.48918	45.0689	1.0549	0.256598	0.173003	0.0865746	0.141102	0.0422192	-0.0105133	0.247559	0.211454	-0.0135322	0.0136463	0.00565067	0.109322	0.112174	0.154229	0.148941	0.11259	0.173169	0.328501	
1.48942	46.982	1.09475	0.267953	0.174284	0.0971222	0.140667	0.0392672	-0.00296021	0.272125	0.237828	-0.0228608	0.0230343	0.000741601	0.0983429	0.127792	0.154286	0.151131	0.105085	0.172913	0.304801	
1.48967	46.8454	1.13461	0.284101	0.175565	0.107681	0.140244	0.0363151	-4.57764e-05	0.291901	0.264201	-0.0228971	0.0324344	-0.00415567	0.0873795	0.143409	0.154355	0.153324	0.097591	0.172658	0.281113	
1.48991	44.6908	1.18685	0.304259	0.177569	0.112793	0.136517	0.0363628	-0.0020752	0.302979	0.291254	-0.0193082	0.0391471	0.00521404	0.0808105	0.152911	0.158403	0.160816	0.100127	0.168565	0.265705	
1.49015	41.0149	1.2391	0.324429	0.179585	0.117908	0.132801	0.0364104	-0.00410461	0.306122	0.313734	-0.0157073	0.0458597	0.0145955	0.0834808	0.162425	0.16245	0.16832	0.102662	0.164484	0.250308	
1.49039	36.5299	1.30091	0.338025	0.178862	0.12302	0.129601	0.036458	-0.0090332	0.301636	0.323164	-0.0115263	0.0525723	0.0239652	0.0994415	0.168002	0.170901	0.175812	0.105197	0.156131	0.234911	
1.49064	31.864	1.36274	0.34684	0.183009	0.128136	0.126396	0.0365056	-0.0092926	0.2892	0.321926	-0.00734538	0.059297	0.0333467	0.115395	0.173579	0.179363	0.183315	0.107744	0.14779	0.219514	
1.49088	27.4335	1.43752	0.353962	0.184404	0.133247	0.126987	0.0400766	-0.00753784	0.269836	0.313258	-0.00258443	0.0565614	0.0389403	0.128654	0.186174	0.189556	0.197521	0.105231	0.141834	0.210431	
1.49112	23.4514	1.5123	0.361084	0.185812	0.138363	0.135773	0.0436476	-0.00576782	0.245697	0.300017	0.00217655	0.0538257	0.0445455	0.141914	0.207779	0.199761	0.211735	0.102718	0.135889	0.20136	
1.49137	19.9933	1.59665	0.367907	0.187524	0.143475	0.149479	0.0497897	-0.00372314	0.214157	0.277727	0.0069375	0.0516685	0.0501508	0.155174	0.240257	0.219311	0.216991	0.100205	0.134192	0.195979	
1.49161	17.0685	1.68102	0.37473	0.189236	0.148602	0.163181	0.051361	-0.00166321	0.182632	0.247829	0.0116985	0.0495233	0.0557562	0.168449	0.281733	0.238872	0.22226	0.0977037	0.132506	0.199032	
1.49185	14.6406	1.7733	0.378403	0.188501	0.155403	0.172981	0.0515038	0.00106812	0.152405	0.215871	0.0132573	0.0465466	0.0740471	0.182671	0.329712	0.269658	0.22467	0.101096	0.127881	0.209059	
1.4921	12.6547	1.86558	0.382088	0.187778	0.162205	0.177872	0.0516466	0.00378418	0.122147	0.183913	0.0148281	0.0528254	0.0923499	0.196899	0.377702	0.309251	0.227093	0.104488	0.123266	0.219096	
1.49234	11.0479	1.96305	0.385774	0.184315	0.168701	0.185532	0.0515038	0.0065155	0.101532	0.151955	0.016399	0.0631535	0.110641	0.211121	0.430004	0.351778	0.220558	0.107879	0.1229	0.229661	
1.49258	9.75901	2.0701	0.389459	0.185723	0.175194	0.193192	0.051361	0.00924683	0.0808563	0.119997	0.0179699	0.0734936	0.128944	0.225342	0.473308	0.394318	0.214031	0.111283	0.122545	0.240226	
1.49283	8.72943	2.18691	0.385375	0.191684	0.185883	0.195419	0.0512182	0.0119781	0.0688019	0.0935637	0.015674	0.0768801	0.149878	0.224548	0.505259	0.42437	0.204514	0.112511	0.128923	0.25447	
1.49307	7.91346	2.31968	0.381292	0.197657	0.191662	0.197651	0.0510753	0.0147095	0.0567322	0.0747508	0.0133781	0.0802665	0.170824	0.223755	0.516225	0.439758	0.195004	0.113739	0.135312	0.268725	
